Date,Max TemperatureC,Min TemperatureC,Description,WindDir,WindForce
2017-1-1,24,13,晴,西南风,1级
2017-1-2,25,15,多云,东北风,微风
2017-1-3,26,16,晴,北风,1级
2017-1-4,27,17,晴,东北风,1级
2017-1-5,25,17,多云,东北风,1级
2017-1-6,26,17,多云,东北风,1级
2017-1-7,25,18,小雨,东北风,1级
2017-1-8,23,14,多云,东北风,3级
2017-1-9,24,15,多云,东风,1级
2017-1-10,24,15,多云,东北风,1级
2017-1-11,20,13,小雨,北风,2级
2017-1-12,16,12,小雨,东北风,2级
2017-1-13,13,11,小雨,北风,2级
2017-1-14,14,10,小雨,北风,1级
2017-1-15,14,11,小雨,东北风,1级
2017-1-16,16,10,小雨,东北风,1级
2017-1-17,16,12,小雨,南风,1级
2017-1-18,19,14,阴,东南风,1级
2017-1-19,22,12,小雨,南风,1级
2017-1-20,18,9,阴,北风,2级
2017-1-21,19,8,晴,西风,1级
2017-1-22,20,9,晴,南风,1级
2017-1-23,21,12,晴,东北风,1级
2017-1-24,19,13,阴,东北风,1级
2017-1-25,22,10,多云,西风,微风
2017-1-26,24,12,晴,东风,1级
2017-1-27,23,11,晴,北风,1级
2017-1-28,24,13,多云,东风,2级
2017-1-29,21,15,小雨,西南风,微风
2017-1-30,21,12,阴,东北风,2级
2017-1-31,17,12,阴,东北风,1级
2017-2-1,22,12,多云,东北风,2级
2017-2-2,21,13,多云,东风,微风
2017-2-3,20,15,小雨,东南风,1级
2017-2-4,21,15,小雨,东北风,1级
2017-2-5,24,16,晴,西南风,微风
2017-2-6,23,15,多云,东北风,1级
2017-2-7,21,14,小雨,南风,1级
2017-2-8,19,10,小雨,东北风,2级
2017-2-9,15,8,多云,东北风,2级
2017-2-10,16,8,晴,东北风,2级
2017-2-11,16,6,晴,南风,1级
2017-2-12,19,7,晴,东北风,1级
2017-2-13,21,9,晴,北风,1级
2017-2-14,23,12,晴,北风,1级
2017-2-15,25,12,晴,南风,1级
2017-2-16,25,13,晴,南风,1级
2017-2-17,26,14,晴,西南风,微风
2017-2-18,27,16,晴,东南风,1级
2017-2-19,26,17,多云,南风,1级
2017-2-20,24,18,多云,东南风,1级
2017-2-21,25,18,小雨,东南风,2级
2017-2-22,25,14,阵雨,北风,1级
2017-2-23,14,9,小雨,东北风,2级
2017-2-24,11,8,小雨,东北风,2级
2017-2-25,11,8,小雨,东北风,1级
2017-2-26,15,11,小雨,东北风,1级
2017-2-27,20,14,多云,北风,1级
2017-2-28,21,15,多云,东北风,2级
2017-3-1,21,13,多云,东北风,2级
2017-3-2,22,10,晴,北风,1级
2017-3-3,23,13,晴,东风,2级
2017-3-6,18,14,小雨,东北风,2级
2017-3-7,18,14,小雨,北风,1级
2017-3-8,16,13,小雨,北风,1级
2017-3-9,18,15,小雨,西南风,微风
2017-3-10,19,17,小雨,西南风,1级
2017-3-11,19,17,小雨,东风,1级
2017-3-12,22,18,小雨,南风,1级
2017-3-13,25,14,阴,东风,1级
2017-3-14,18,13,小雨,东北风,2级
2017-3-15,17,13,阴,西北风,微风
2017-3-16,20,16,小雨,北风,1级
2017-3-17,20,16,阴,北风,1级
2017-3-18,20,17,小雨,东南风,1级
2017-3-19,21,18,大雨,北风,1级
2017-3-20,24,18,小雨,东北风,1级
2017-3-21,25,18,阴,南风,1级
2017-3-22,23,19,中雨,东风,1级
2017-3-23,24,19,阴,南风,2级
2017-3-24,26,18,阴,南风,3级
2017-3-25,17,11,小雨,北风,3级
2017-3-26,15,9,阵雨,东风,2级
2017-3-27,24,14,晴,东南风,2级
2017-3-28,26,18,多云,东风,3级
2017-3-29,24,20,雷阵雨,西南风,2级
2017-3-30,26,20,阵雨,东南风,3级
2017-3-31,20,13,大雨,北风,5级
2017-4-1,23,12,晴,西风,1级
2017-4-2,25,14,晴,东南风,2级
2017-4-3,26,16,晴,南风,3级
2017-4-4,27,18,多云,东南风,3级
2017-4-5,27,20,多云,东南风,3级
2017-4-6,26,21,阵雨,东南风,2级
2017-4-7,27,21,多云,东南风,3级
2017-4-8,28,23,阵雨,东南风,4级
